effector,pid,spd,n,t0_A_ms,t0_A_lo,t0_A_hi,width_ms,floor_open,t0_B_ms,t0_B_lo,t0_B_hi,AB_diff_ms,intervals_overlap
SRT,CMT002,0,116,113.6,96.6,122.5,25.9,False,110.0,92.0,119.0,3.6,True
SRT,CMT005,0,108,117.2,70.0,132.0,62.0,True,84.0,70.0,109.0,33.2,True
SRT,CMT007,0,109,70.0,70.0,84.0,14.0,True,70.0,70.0,71.0,0.0,True
SRT,CMT008,0,110,70.0,70.0,77.0,7.0,True,71.0,70.0,75.0,-1.0,True
SRT,CMT009,0,109,70.0,70.0,77.6,7.6,True,70.0,70.0,72.0,0.0,True
SRT,CMT010,0,118,70.0,70.0,102.0,32.0,True,72.0,70.0,78.0,-2.0,True
SRT,CMT001,75,90,72.4,70.0,132.0,62.0,True,74.0,70.0,88.0,-1.6,True
SRT,CMT0011,75,99,70.0,70.0,81.0,11.0,True,70.0,70.0,71.0,0.0,True
SRT,CMT0012,75,91,70.5,70.0,81.9,11.9,True,86.0,77.0,90.0,-15.5,True
SRT,CMT0014,75,107,88.5,70.0,88.5,18.5,True,70.0,70.0,72.0,18.5,True
SRT,CMT0015,75,114,131.7,114.8,141.0,26.2,False,127.0,110.0,135.0,4.7,True
SRT,CMT0016,75,109,70.0,70.0,97.0,27.0,True,74.0,70.0,87.0,-4.0,True
SRT,CMT0017,75,117,70.0,70.0,123.8,53.8,True,76.0,70.0,96.0,-6.0,True
SRT,CMT005,75,109,70.0,70.0,82.0,12.0,True,70.0,70.0,71.0,0.0,True
SRT,CMT009,75,112,70.0,70.0,84.6,14.6,True,71.0,70.0,73.0,-1.0,True
SRT,CMT010,75,117,70.0,70.0,85.9,15.9,True,71.0,70.0,73.0,-1.0,True
SRT,CMT001,150,79,89.2,70.0,138.0,68.0,False,73.0,70.0,80.0,16.2,True
SRT,CMT0011,150,104,70.0,70.0,84.0,14.0,True,70.0,70.0,71.0,0.0,True
SRT,CMT0014,150,111,70.0,70.0,105.7,35.7,True,72.0,70.0,81.0,-2.0,True
SRT,CMT0015,150,115,70.0,70.0,81.0,11.0,True,70.0,70.0,71.0,0.0,True
SRT,CMT0016,150,117,70.0,70.0,96.0,26.0,True,71.0,70.0,77.0,-1.0,True
SRT,CMT0017,150,113,90.0,70.0,90.0,20.0,True,71.0,70.0,72.0,19.0,True
SRT,CMT002,150,113,70.0,70.0,92.0,22.0,True,72.0,70.0,78.0,-2.0,True
SRT,CMT005,150,110,83.0,70.0,83.0,13.0,True,70.0,70.0,71.0,13.0,True
SRT,CMT006,150,101,70.0,70.0,90.0,20.0,True,71.0,70.0,72.0,-1.0,True
SRT,CMT009,150,110,70.0,70.0,77.9,7.9,True,71.0,70.0,72.0,-1.0,True
