pid,spd,v,v_lo,v_hi,a,a_lo,a_hi,w,w_lo,w_hi,t0,t0_lo,t0_hi
CMT001,0,-1.067067455767577,-1.9658162028525252,-0.07351559857612688,0.4304816442202802,0.39470420584104693,0.4619660930251138,0.5431477324061298,0.4932457154979105,0.5909819616746008,185.2901080508195,183.60385567364472,186.66120315217483
CMT0011,0,-0.3589944606218196,-1.180909141081226,0.37206874695210046,0.500392632860601,0.46333142516364656,0.5394818600439664,0.5491208960206976,0.49543005195003187,0.5943787402114498,203.88173727665892,201.60338309141457,205.61739602796035
CMT0012,0,-2.248562595873547,-3.025160012249579,-1.4768731308578305,0.5438067604862699,0.4971476039293172,0.5898236234958261,0.5180953387185192,0.4664298457772789,0.5709425903756358,198.1164549022834,195.19716531541366,201.35755470108575
CMT0014,0,-0.9172257479831942,-1.6511218464105235,-0.14719475250300684,0.5516192910806895,0.5062256341342221,0.5919393688436442,0.527909978986378,0.48029935034459753,0.5886010186542798,186.85647465577716,184.7524409987304,188.7694847688306
CMT0015,0,-3.284001803455506,-4.143725870583073,-2.5023927437972655,0.6609152732907501,0.6115787834101939,0.7166300007311426,0.6346867580954414,0.5807043387349081,0.6958392601536437,148.2640025925378,146.31255514735304,150.1179145240368
CMT0016,0,-1.3231842631519062,-2.1869232516945494,-0.5197368800094098,0.5045604848236284,0.46493140365424984,0.5437573197293953,0.5417381681134575,0.49426591393940505,0.5931945431399199,174.57141665727255,172.63164719187864,176.38816001829233
CMT0017,0,-2.4338798366264855,-3.2505686092957733,-1.6383090667937166,0.560499072339215,0.5120657754501323,0.6049818794418235,0.53072289680686,0.4800933513126083,0.5842995195694356,199.5269729918801,197.16410611874684,201.86108955370275
CMT002,0,-2.425204495282943,-3.3121193487538454,-1.5782557250898699,0.5164568273317474,0.4745524119085833,0.5606409621850714,0.5210069338712999,0.46921270920456015,0.5765345542354504,181.115870878596,178.56850089698784,183.72784051638038
CMT003,0,-1.6707984123188007,-4.688275537409137,0.8509264768987896,0.552798135880005,0.3377031002280974,0.7621053886330733,0.5458350412845678,0.4603437857247046,0.6285591824179985,572.8880469991741,503.93550406423816,616.1751711534855
CMT004,0,-1.691110681740879,-4.141951189988122,1.0804537400871115,0.5498200830621773,0.35834299513969264,0.7801291408721749,0.5457738795570615,0.45934993113359335,0.6234437017939232,572.7587948989813,508.0876654863975,617.1155789978186
CMT005,0,-1.7180332123508233,-4.155779051397026,1.1293547047076127,0.5499116092725744,0.354439378042128,0.7615012327185525,0.5441557768193702,0.45582862856026946,0.6246077037958322,573.0322001227404,511.68618669432095,615.6158391037376
CMT006,0,-1.6985494275862854,-4.2285525714969685,1.159453698063392,0.5481900931459658,0.32713013038978195,0.7538675956298211,0.5462171629859182,0.4693273621763938,0.6305128048230261,574.2573875290677,509.5085083284612,617.7730213857852
CMT007,0,-1.6805764843009132,-4.60777530272995,0.7226450694878108,0.5508546860917006,0.35743927181165003,0.7719789947602017,0.5444023342461465,0.46541314880993834,0.6302809508290733,573.4512083060562,512.174655202454,615.7141727027416
CMT008,0,-1.7321059390748288,-4.414711542253497,1.0458635633718383,0.5483303895803041,0.35456640343288076,0.751020941928882,0.5454301163308697,0.4661232551507934,0.6288768083557632,573.0570739508273,505.55395524638504,617.6038217080273
CMT009,0,-1.7412375230042385,-4.399082145691048,1.083153234118431,0.5491146237003695,0.3438576338767338,0.7554879579560526,0.5454008934719848,0.4643527864961186,0.6286057773482702,573.7692004288513,511.04581607412223,616.2079361620132
CMT010,0,-1.7040592928417977,-4.626301370328056,0.9628956661406058,0.5496373739849262,0.34047943957347465,0.7746747564312427,0.5467569169382146,0.46528314839805224,0.6298601723337823,571.9377907575058,506.9317369593342,616.8928604348724
CMT001,75,1.3221537802960537,0.3205845187874208,2.2791126196041587,0.43241821008062786,0.39840556637664215,0.4669889261703975,0.38682527233404107,0.33764359158502255,0.4303453333879469,177.52584607384074,176.3918907919778,178.5592245058553
CMT0011,75,3.4646433663853715,2.6839952867577406,4.234238191017778,0.6210839510021123,0.5687429565212878,0.6758552402551489,0.3842126458023819,0.3353695590475546,0.42999700916522643,173.64775937078406,170.88659794572752,176.09478624616924
CMT0012,75,1.9015432930730602,1.1291228475848343,2.690206807859825,0.5398555687426537,0.49817484816699825,0.5803106360110556,0.3682429532993444,0.3280278410118717,0.4178714194044583,183.06116814948095,181.18495338677,184.84185481186495
CMT0014,75,5.123799954596961,4.191001744572513,6.0626511907570615,0.5920823133688016,0.5434464153525442,0.6534119939851986,0.35984085724789655,0.31244562763843975,0.4089380076222195,186.78133662492996,184.4734861470721,188.95087616977304
CMT0015,75,0.3078756655059762,-0.4448111446274696,1.113712565829695,0.5497737026914599,0.5062968498973063,0.5910289385128665,0.3994970656840912,0.34859808451777563,0.4476600430959259,153.92810195630022,152.35001579523404,155.44525655873366
CMT0016,75,3.587054543687929,2.691439714254016,4.473965303234237,0.504318594078612,0.4641028613332195,0.5421585007641626,0.35760992087579796,0.3124569909924074,0.400266895390148,171.0556969459348,169.54516313612208,172.32871389184322
CMT0017,75,2.492093103500403,1.8959773430729003,3.1466016952289033,0.7921342956146731,0.7280978478302168,0.8567662743143598,0.33409910365507983,0.2876712689137624,0.3809555528635058,150.67541347593476,148.42819139789367,152.63925151025038
CMT002,75,3.0965709930592213,2.139809376364523,4.007147367671822,0.4642636583161927,0.42934319089642903,0.5049298898308381,0.3574039154017012,0.3144037042681442,0.40244311415456,177.08393048121863,175.58077251416805,178.30453095318492
CMT003,75,2.612444027951076,1.625973692931183,3.522637598324772,0.45319356800041144,0.4180120256209171,0.48937790205343085,0.3745012517505412,0.3323085601052847,0.4250473369424193,196.96522106062338,195.65411894434646,198.16785452600598
CMT004,75,4.609448060470395,3.5735809281522037,5.658087040855838,0.461719131267701,0.42382312714216097,0.5011451897852643,0.34302816101980854,0.3003749777462789,0.3888593741773482,182.04825025416346,180.65147149898985,183.2699975091684
