model,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Wald_x_Bernoulli,0,6790.219721253625,170.9786811138165,0.0,0.9995055117693652,83.1711864570383,0.0,True,log
two_boundary_DDM,1,6218.310563439845,169.00856094138908,571.9091578137782,0.0004944882306348042,65.83420278580107,45.54715588870858,True,log
