pid,spd,n,d,t0_true,t0_2b,t0_wald
CMT001,0,118,1.2182042771245847,185.80470467559155,185.2328726433733,183.17912865870036
CMT001,75,117,3.7949294260602358,177.92702882264135,176.65565198448041,174.01369169803758
CMT001,150,115,6.665103773560276,166.18343642318987,169.51917534064123,163.99784081019655
CMT0011,0,119,2.102030748305367,204.33857772296724,204.00876788040293,200.56947197630782
CMT0011,75,118,3.8544811764808173,173.23568066416613,175.77541743587585,170.40898400123598
CMT0011,150,117,15.83147702649282,192.2383316757234,192.01129002764404,188.39397645051153
CMT0012,0,119,0.42816520525585133,198.61897628916844,198.30827830523486,192.9180682947034
CMT0012,75,120,13.468545714142522,183.2718593253313,184.4341312389868,178.6034467610274
CMT0012,150,120,17.436568893638835,152.36475200667107,151.98397254308043,131.2176902645972
CMT0014,0,120,-0.8407577513610107,187.41104675324056,187.1130554225212,188.9764427258722
CMT0014,75,120,9.43425463510394,186.19802550631235,185.68412419453503,174.08278749607908
CMT0014,150,117,20.39290444334179,155.85835756322146,156.36441175409462,130.00000000841283
CMT0015,0,120,19.847061270355354,148.48675299832576,151.12064993625407,130.000000507309
CMT0015,75,119,-0.6479021260830109,153.25701759304368,154.70502508197114,156.02689263887265
CMT0015,150,119,2.8332082058941523,156.06397869859754,157.29410887662942,150.80650866540373
CMT0016,0,119,2.1965035758003637,174.77844827284923,173.33160892109964,169.35107065095832
CMT0016,75,119,4.3347008715732045,171.42216562851564,171.739881008306,158.73894854057417
CMT0016,150,113,18.014539559349217,156.87811677019914,156.9417648268543,148.45691301089263
CMT0017,0,120,-0.02167248695627677,200.1200413913819,202.00643022700746,198.18221960479278
CMT0017,75,119,27.886290874325724,149.97338645755158,150.872932713506,130.0000002079119
CMT0017,150,120,2.0633066890481757,205.0021997842158,207.19863911000851,199.02717441310884
CMT002,0,119,0.04028320561332066,181.4933681408995,182.6280896681042,174.37570337968708
CMT002,75,116,14.018009729133581,177.58246013663722,177.314491930592,170.81605403427383
CMT002,150,116,8.348740436898566,177.00665708746226,175.11222172981016,167.63123170736543
CMT003,75,119,8.434425741800084,197.8659475188811,198.780395360594,191.76310760421003
CMT003,150,118,8.68341332562531,185.54721084523416,185.49555354218984,179.07368825042877
CMT004,75,117,16.087556278874672,182.76685147756305,182.6021770435462,169.7518328879154
CMT004,150,119,1.396782062466059,152.3497117649844,152.01180741414734,143.2286981431291
CMT005,75,117,16.016593292369947,148.32424909960423,146.77108038172761,130.00000073559593
CMT005,150,117,3.3961814966058625,163.1722846490363,165.053747091547,130.00000052041867
CMT006,75,120,10.719109711928468,203.30998925114935,202.67065055564265,197.16245859369533
CMT006,150,119,10.17135068658287,193.20290012251135,196.80905293614404,190.15170092822498
CMT007,75,119,9.460260110271747,210.15183181953253,208.9191863343772,201.09099087898
CMT007,150,117,15.243526362251202,152.23820386608668,150.65732013230775,130.00000121419538
CMT008,75,120,3.500453314391251,188.00620237613475,188.49206156805886,186.75038008431665
CMT008,150,115,1.6568073216677703,157.22269163627402,156.84662940146566,153.3807959264717
CMT009,75,120,13.945452046762199,185.16049922652,186.78508034540602,173.97292485708047
CMT009,150,120,5.485005324323026,186.6811062982412,184.85507158103184,179.60885315713858
CMT010,75,119,2.159153188788025,188.77694820342623,187.0012226118328,183.05977311850026
CMT010,150,118,9.612167831666994,152.7899217992587,146.00848109425561,134.3555568295118
