pid,spd,n_sub,n_all,wald_all_t0,wald_all_v,wald_all_a,wald_sub_t0,wald_sub_v,wald_sub_a,b2_t0,b2_v,b2_a,b2_w,minrt_sub,minrt_all
CMT001,0,118,118,157.99722191936272,13.629567733700798,0.9313551079701751,157.99722191936272,13.629567733700798,0.9313551079701751,185.80470467559155,-0.8945400728246845,0.42052398953729875,0.5353664550416092,189.0,189.0
CMT001,75,117,117,130.0000029747157,17.678445562510987,1.529863090755844,130.0000029747157,17.678445562510987,1.529863090755844,177.92702882264135,0.7937459485657584,0.4188167272508961,0.41401383078179166,180.0,180.0
CMT001,150,115,115,130.0000001773026,12.740391362964731,1.174003393173561,130.0000001773026,12.740391362964731,1.174003393173561,166.18343642318987,0.4424615831713135,0.5158415782626533,0.3954655327429772,169.0,169.0
CMT0011,0,119,119,188.52678753741242,7.660948275904495,0.5628675438904024,188.52678753741242,7.660948275904495,0.5628675438904024,204.33857772296724,-0.20641874668969393,0.49474035627896545,0.5450502195237901,209.0,209.0
CMT0011,75,118,118,151.86985539232415,8.525181945722773,0.8096974156446329,151.86985539232415,8.525181945722773,0.8096974156446329,173.23568066416613,3.4724130377704348,0.630096732862094,0.3909349335579697,180.0,180.0
CMT0011,150,117,117,182.2546735615755,5.984309888163087,0.44003414871412766,182.2546735615755,5.984309888163087,0.44003414871412766,192.2383316757234,3.856760784655772,0.5652471742956978,0.3441918873559653,199.0,199.0
CMT0012,0,119,119,193.85251233227052,5.296995674963751,0.3686543693472764,193.85251233227052,5.296995674963751,0.3686543693472764,198.61897628916844,-2.1407952606696847,0.5426337832928706,0.4994663206602945,205.0,205.0
CMT0012,75,120,120,163.75001646661468,7.456631837486997,0.6185008322441643,163.75001646661468,7.456631837486997,0.6185008322441643,183.27185932533132,1.7658498940781817,0.5358905796626378,0.3743295016432742,187.0,187.0
CMT0012,150,120,120,130.00000066721768,6.45818495949353,0.7742831697151256,130.00000066721768,6.45818495949353,0.7742831697151256,152.36475200667107,1.3705211638353543,0.7019764612464872,0.3429385459927021,156.5,156.5
CMT0014,0,120,120,148.21278474491447,13.68837136990686,1.4323119734592942,148.21278474491447,13.68837136990686,1.4323119734592942,187.41104675324058,-0.6505360830625013,0.5472833307296924,0.502765873186117,191.5,191.5
