pid,spd,ll_2b,ll_wb,d
CMT001,0,199.0542195361511,224.7460959255144,-25.6918763893633
CMT001,75,203.99226450028246,235.30108886461278,-31.30882436433032
CMT001,150,159.38502474784883,192.91883076680665,-33.53380601895782
CMT0011,0,156.30877508315896,165.1926096410275,-8.88383455786854
CMT0011,75,161.52570908608277,176.91511886743336,-15.389409781350594
CMT0011,150,173.08616501360487,162.7754064539728,10.310758559632063
CMT0012,0,158.40108808639664,161.36040170599398,-2.9593136195973386
CMT0012,75,152.32537831781843,156.59252568852315,-4.26714737070472
CMT0012,150,104.14148555214979,115.23132292562101,-11.089837373471227
CMT0014,0,148.1508158189666,201.93039404408776,-53.779578225121156
CMT0014,75,220.91428595132328,243.0088545137482,-22.09456856242491
CMT0014,150,122.3071677547347,136.62261841146562,-14.315450656730917
CMT0015,0,158.3995297682384,160.6772717409438,-2.2777419727053996
CMT0015,75,145.63315349368057,166.16842848172072,-20.535274988040157
CMT0015,150,167.16458538717842,180.594521090476,-13.429935703297588
CMT0016,0,162.19302170929166,173.7016830546757,-11.508661345384041
CMT0016,75,196.75650992898048,202.11036718990698,-5.353857260926503
CMT0016,150,141.70283656648195,138.0428055935132,3.660030972968741
CMT0017,0,165.12287870876588,178.52659390662467,-13.403715197858787
CMT0017,75,96.85953926394905,138.62283255774747,-41.76329329379843
CMT0017,150,159.27477477063422,170.88064073255342,-11.605865961919193
CMT002,0,174.56315249311209,179.04545537095603,-4.482302877843949
CMT002,75,201.9067597234844,212.50642065594138,-10.59966093245697
CMT002,150,201.79939132848722,228.29579254292233,-26.49640121443511
CMT003,75,205.69489767151214,224.1505638147891,-18.45566614327697
CMT003,150,177.65692252223704,208.63450816378054,-30.9775856415435
CMT004,75,233.3525658082463,239.42346995974737,-6.070904151501054
CMT004,150,145.87240563999418,174.8138350306546,-28.941429390660403
CMT005,75,81.67407537027492,106.03158462368684,-24.35750925341192
CMT005,150,36.93365847357308,49.883023025783615,-12.949364552210533
CMT006,75,169.3757439332456,166.13917007008564,3.236573863159947
CMT006,150,129.40674899017006,131.61279836759834,-2.206049377428286
CMT007,75,146.62844928848844,139.48367258763125,7.144776700857193
CMT007,150,78.35198553786608,90.48492689365878,-12.132941355792696
CMT008,75,215.2062658752811,224.47419392488635,-9.267928049605246
CMT008,150,144.84940411331587,216.81897143548952,-71.96956732217365
CMT009,75,158.06005162079202,171.3243729895278,-13.264321368735779
CMT009,150,159.28241584640978,156.75628135226663,2.5261344941431503
CMT010,75,244.38112926006366,240.3506418971104,4.0304873629532665
CMT010,150,144.5178277034945,139.65106213832067,4.866765565173836
