trial,response_time,accuracy,decision_time,evidence_time
1,1.1400000000000006,1,0.8900000000000007,0.8900000000000007
2,0.4940000000000002,1,0.2440000000000002,0.2440000000000002
3,0.6380000000000003,1,0.3880000000000003,0.3880000000000003
4,1.0440000000000005,1,0.7940000000000006,0.7940000000000006
5,0.6740000000000004,1,0.4240000000000003,0.4240000000000003
6,1.1890000000000007,1,0.9390000000000007,0.9390000000000007
7,3.25,0,3.0,3.0
8,1.5259999999999703,1,1.2759999999999703,1.2759999999999703
9,0.9660000000000005,1,0.7160000000000005,0.7160000000000005
10,3.25,0,3.0,3.0
11,0.8960000000000005,1,0.6460000000000005,0.6460000000000005
12,1.0260000000000007,1,0.7760000000000006,0.7760000000000006
13,0.7060000000000004,1,0.45600000000000035,0.45600000000000035
14,0.5690000000000002,1,0.31900000000000023,0.31900000000000023
15,1.0890000000000006,1,0.8390000000000006,0.8390000000000006
16,0.8100000000000004,1,0.5600000000000004,0.5600000000000004
17,1.0870000000000006,1,0.8370000000000006,0.8370000000000006
18,1.0500000000000007,1,0.8000000000000006,0.8000000000000006
19,0.6730000000000003,1,0.4230000000000003,0.4230000000000003
20,0.6340000000000003,1,0.3840000000000003,0.3840000000000003
21,0.9010000000000005,1,0.6510000000000005,0.6510000000000005
22,1.2789999999999975,1,1.0289999999999975,1.0289999999999975
23,0.7000000000000004,1,0.45000000000000034,0.45000000000000034
24,1.7989999999999402,1,1.5489999999999402,1.5489999999999402
25,0.7900000000000004,1,0.5400000000000004,0.5400000000000004
26,1.7699999999999434,1,1.5199999999999434,1.5199999999999434
27,2.4059999999998736,1,2.1559999999998736,2.1559999999998736
28,0.6850000000000003,1,0.43500000000000033,0.43500000000000033
29,0.8480000000000004,1,0.5980000000000004,0.5980000000000004
30,1.61899999999996,1,1.36899999999996,1.36899999999996
31,2.008999999999917,1,1.758999999999917,1.758999999999917
32,0.9990000000000006,1,0.7490000000000006,0.7490000000000006
33,0.9030000000000005,1,0.6530000000000005,0.6530000000000005
34,2.178999999999898,1,1.9289999999998984,1.9289999999998984
35,0.4720000000000002,1,0.22200000000000017,0.22200000000000017
36,3.0709999999998003,1,2.8209999999998003,2.8209999999998003
37,0.9500000000000005,1,0.7000000000000005,0.7000000000000005
38,2.145999999999902,1,1.895999999999902,1.895999999999902
39,0.8140000000000004,1,0.5640000000000004,0.5640000000000004
40,0.7890000000000004,1,0.5390000000000004,0.5390000000000004
41,0.43900000000000017,1,0.18900000000000014,0.18900000000000014
42,0.7620000000000003,1,0.5120000000000003,0.5120000000000003
43,1.2589999999999997,1,1.0089999999999997,1.0089999999999997
44,0.9370000000000005,1,0.6870000000000005,0.6870000000000005
45,1.2190000000000007,1,0.9690000000000007,0.9690000000000007
46,1.0750000000000006,1,0.8250000000000006,0.8250000000000006
47,0.6990000000000003,1,0.44900000000000034,0.44900000000000034
48,1.590999999999963,1,1.340999999999963,1.340999999999963
49,2.07399999999991,1,1.82399999999991,1.82399999999991
50,1.4939999999999738,1,1.2439999999999738,1.2439999999999738
51,0.7030000000000003,1,0.45300000000000035,0.45300000000000035
52,1.2200000000000006,1,0.9700000000000008,0.9700000000000008
53,0.9550000000000005,1,0.7050000000000005,0.7050000000000005
54,1.482999999999975,1,1.232999999999975,1.232999999999975
55,1.1080000000000005,1,0.8580000000000007,0.8580000000000007
56,1.5439999999999683,1,1.2939999999999683,1.2939999999999683
57,0.6540000000000004,1,0.4040000000000003,0.4040000000000003
58,2.7629999999998343,1,2.5129999999998343,2.5129999999998343
59,0.9130000000000005,1,0.6630000000000005,0.6630000000000005
60,0.8630000000000004,1,0.6130000000000004,0.6130000000000004
61,1.4969999999999735,1,1.2469999999999735,1.2469999999999735
62,0.3880000000000001,1,0.1380000000000001,0.1380000000000001
63,0.6680000000000004,1,0.4180000000000003,0.4180000000000003
64,0.9180000000000005,1,0.6680000000000005,0.6680000000000005
65,1.1210000000000007,1,0.8710000000000007,0.8710000000000007
66,0.6620000000000004,1,0.4120000000000003,0.4120000000000003
67,1.0500000000000007,1,0.8000000000000006,0.8000000000000006
68,1.1100000000000008,1,0.8600000000000007,0.8600000000000007
69,0.5880000000000003,1,0.33800000000000024,0.33800000000000024
70,1.0750000000000006,1,0.8250000000000006,0.8250000000000006
71,1.4619999999999773,1,1.2119999999999773,1.2119999999999773
72,1.5749999999999649,1,1.3249999999999649,1.3249999999999649
73,1.5249999999999704,1,1.2749999999999704,1.2749999999999704
74,0.8790000000000004,1,0.6290000000000004,0.6290000000000004
75,2.7709999999998334,1,2.5209999999998334,2.5209999999998334
76,1.0380000000000007,1,0.7880000000000006,0.7880000000000006
77,0.5620000000000003,1,0.3120000000000002,0.3120000000000002
78,1.4509999999999785,1,1.2009999999999785,1.2009999999999785
79,1.6779999999999535,1,1.4279999999999535,1.4279999999999535
80,0.6810000000000003,1,0.4310000000000003,0.4310000000000003
81,2.247999999999891,1,1.9979999999998908,1.9979999999998908
82,0.8870000000000005,1,0.6370000000000005,0.6370000000000005
