trial,response_time,accuracy,decision_time,choice,final_evidence
1,0.5440000000000003,1,0.2940000000000002,1,1.0040102011062622
2,1.0720000000000005,0,0.8220000000000006,1,1.0367061671138686
3,3.25,0,3.0,0,0.5804448426220672
4,0.5410000000000001,0,0.2910000000000002,-1,-1.0612522979867802
5,1.6569999999999558,0,1.4069999999999558,-1,-1.0278666831134564
6,0.3350000000000001,1,0.08500000000000006,-1,-1.0048331700624358
7,0.9930000000000005,1,0.7430000000000005,-1,-1.0109293314545988
8,0.5690000000000002,1,0.31900000000000023,-1,-1.003845152690654
9,0.5860000000000003,0,0.33600000000000024,1,1.0298032144530143
10,0.6380000000000003,1,0.3880000000000003,-1,-1.06281492687714
11,1.0870000000000006,1,0.8370000000000006,1,1.0096247515255918
12,1.8489999999999347,1,1.5989999999999347,-1,-1.049674568865353
13,3.25,0,3.0,0,0.9243946416598406
14,0.7240000000000004,1,0.47400000000000037,1,1.016334903483485
15,0.6770000000000003,1,0.4270000000000003,-1,-1.0142137586564293
16,3.25,0,3.0,0,0.16351713902954018
17,0.5410000000000001,1,0.2910000000000002,1,1.0032347424395283
18,0.5940000000000003,1,0.34400000000000025,1,1.0076677695393532
19,0.9920000000000005,1,0.7420000000000005,1,1.0462745012346921
20,1.572999999999965,1,1.322999999999965,1,1.0110587550678438
21,0.5790000000000002,0,0.32900000000000024,1,1.0047657774616159
22,0.7450000000000003,0,0.4950000000000004,-1,-1.0221148412090464
23,1.1850000000000007,1,0.9350000000000007,1,1.0542850822251384
24,0.6220000000000003,1,0.3720000000000003,1,1.0476383998741479
25,0.7270000000000003,0,0.47700000000000037,-1,-1.033670428091281
26,1.3069999999999944,1,1.0569999999999944,1,1.006309610375249
27,0.5450000000000002,1,0.2950000000000002,-1,-1.001940123059199
28,1.6969999999999514,0,1.4469999999999514,-1,-1.0304551294802675
29,0.6200000000000003,0,0.3700000000000003,1,1.0086784911645619
30,0.6760000000000004,1,0.4260000000000003,1,1.0197173218102746
31,1.8149999999999384,1,1.5649999999999384,1,1.003039886420218
32,1.5349999999999693,0,1.2849999999999693,-1,-1.0142545565728895
33,0.6870000000000003,1,0.43700000000000033,1,1.0091754272650042
34,1.4429999999999794,1,1.1929999999999794,1,1.0271719777683932
35,1.8869999999999305,0,1.6369999999999305,-1,-1.0285395508858426
36,1.4139999999999826,1,1.1639999999999826,1,1.0007886449185928
37,1.5529999999999673,0,1.3029999999999673,-1,-1.00006697354884
38,0.9070000000000005,0,0.6570000000000005,-1,-1.0383223402165922
39,0.9370000000000005,1,0.6870000000000005,1,1.0031109015171356
40,2.0059999999999176,1,1.7559999999999174,-1,-1.0155750975530087
41,0.5330000000000001,0,0.2830000000000002,-1,-1.0159700944534482
42,0.41300000000000014,0,0.16300000000000012,-1,-1.0148113114826744
43,1.1040000000000005,1,0.8540000000000006,1,1.0263245892635449
44,1.1320000000000006,1,0.8820000000000007,1,1.0106905729236664
45,0.4940000000000002,1,0.2440000000000002,1,1.005527943540624
46,0.8000000000000004,1,0.5500000000000004,1,1.0104511538986725
47,0.7330000000000003,1,0.4830000000000004,-1,-1.0060917974723904
48,1.6799999999999533,0,1.4299999999999533,1,1.0242524793399763
49,0.9210000000000005,1,0.6710000000000005,1,1.013490850854748
50,1.0870000000000006,1,0.8370000000000006,1,1.0092584363851604
51,2.0359999999999143,1,1.785999999999914,1,1.0152425636363032
52,1.5249999999999704,0,1.2749999999999704,-1,-1.0209703880809966
53,0.3880000000000001,0,0.1380000000000001,-1,-1.0232218611302497
54,0.6070000000000002,1,0.35700000000000026,1,1.0388881078589345
55,0.5780000000000003,0,0.32800000000000024,-1,-1.0043386898970557
56,0.7010000000000003,1,0.45100000000000035,-1,-1.0012452520069883
57,0.8920000000000005,1,0.6420000000000005,1,1.0075736806778628
58,0.7770000000000004,1,0.5270000000000004,1,1.004126541847839
59,1.6589999999999556,1,1.4089999999999556,1,1.0000875565565457
60,1.7119999999999498,1,1.4619999999999498,1,1.0198054271537689
61,0.4500000000000002,1,0.20000000000000015,-1,-1.010075322788042
62,0.8750000000000004,1,0.6250000000000004,1,1.0076540286566222
63,1.1150000000000007,1,0.8650000000000007,1,1.0461144400632614
64,0.8510000000000004,1,0.6010000000000004,1,1.01457805892284
65,0.39700000000000013,1,0.1470000000000001,1,1.022292119276299
66,0.5830000000000002,0,0.33300000000000024,-1,-1.0118179244122427
67,1.1630000000000007,0,0.9130000000000007,-1,-1.0111144964042629
68,2.518999999999861,1,2.268999999999861,1,1.0278293586796592
69,0.5360000000000003,0,0.2860000000000002,-1,-1.0038634983497114
70,1.3499999999999897,1,1.0999999999999897,1,1.0209573967864798
71,0.3490000000000001,1,0.09900000000000007,1,1.0059708949750923
72,0.6680000000000004,1,0.4180000000000003,1,1.0381425016949133
73,1.2939999999999958,0,1.0439999999999958,-1,-1.0190524923868605
74,1.0810000000000006,1,0.8310000000000006,1,1.0179287223016908
75,0.7350000000000003,0,0.4850000000000004,-1,-1.0227367982893285
76,0.6270000000000002,1,0.3770000000000003,1,1.0010180410121634
77,0.9120000000000005,0,0.6620000000000005,1,1.0144588756882045
78,0.6970000000000003,1,0.44700000000000034,1,1.022369058195662
79,0.5000000000000002,0,0.25000000000000017,1,1.010881253875045
80,1.3319999999999916,1,1.0819999999999916,1,1.0177705536131831
81,3.25,0,3.0,0,-0.42371221082032107
82,1.654999999999956,1,1.404999999999956,-1,-1.0022177969392856
83,0.8700000000000004,1,0.6200000000000004,1,1.0351807573176062
