pid,spd,mu_rate,sd_rate,median_lat_ms,reciprobit_r2,ks,express_frac
CMT001,0,4.869380100787327,0.6458741766932133,205.36494980917809,0.9854214237740775,0.12103627403879325,0.0
CMT001,75,4.437862333123032,0.5853234828442014,225.33371360717166,0.9718726482481491,0.10845241412590445,0.0
CMT001,150,4.297384572707435,0.6344777240304041,232.69967653138863,0.9682568583950442,0.1447699218151124,0.0
CMT0011,0,5.257246254424419,0.9986355949006204,190.21365018966253,0.989572365988546,0.1061583963786662,0.01834862385321101
CMT0011,75,4.950310704805618,1.2565177242085352,202.00752228122346,0.9661126101745539,0.1651292038357699,0.020202020202020204
CMT0011,150,4.911771775207345,1.1678586843409928,203.59252134791748,0.9808521688538467,0.13688450738684876,0.019230769230769232
CMT0012,0,8.374310847451909,1.552845434200481,119.41281118126571,0.8785593327051046,0.16823443803272517,0.8229166666666666
CMT0012,75,8.30102226784462,1.5063145713487454,120.46709040567991,0.8284286809965148,0.21540448771408927,0.8351648351648352
CMT0012,150,8.003510133975679,1.6629218615423276,124.9451782106082,0.7677388414582191,0.23054141561691527,0.7386363636363636
CMT0014,0,6.154330702340876,1.0765743364999334,162.48720589870766,0.9868994919384673,0.14426672816424135,0.050505050505050504
CMT0014,75,5.858853107968592,1.1257789962685671,170.68186922793913,0.9894981060362873,0.12882218000153323,0.037383177570093455
CMT0014,150,5.552115896612649,0.9111434669523241,180.11151399236837,0.9954430608520697,0.05291833764807319,0.009009009009009009
CMT0015,0,5.830900457517487,0.8294540651076876,171.5000980184373,0.970509490858509,0.1216625982479253,0.008771929824561403
CMT0015,75,5.652131893427874,0.756124423688553,176.92439222141462,0.9615930450761306,0.11961701401594993,0.0
CMT0015,150,5.64644104442173,1.0074520775371858,177.10270808333806,0.9911980102583178,0.14251735930545828,0.017391304347826087
CMT0016,0,6.4435531607456795,1.3447497523841465,155.19387751652772,0.9886952334541286,0.09714008220708503,0.11009174311926606
CMT0016,75,6.18396490669973,0.9310858672532942,161.70855027275402,0.9815045349699988,0.08983679154948104,0.09174311926605505
CMT0016,150,5.970399107326114,1.0549347545007675,167.4929903384394,0.9897487117650646,0.05807854168547248,0.05128205128205128
CMT0017,0,5.613515255687799,0.9071232176050273,178.14149502609206,0.9561409691076946,0.09508295973758246,0.008849557522123894
CMT0017,75,5.141794724506059,0.7803574244994106,194.4846213393056,0.9848362113404042,0.08664301335605329,0.0
CMT0017,150,5.1919746837300105,0.8872773743313144,192.60494530793466,0.9843134483989792,0.09176681133312814,0.008849557522123894
CMT002,0,5.899171901078902,1.0447437541186988,169.51531787319328,0.9434278345138319,0.13179991233403826,0.017241379310344827
CMT002,75,5.422995587595537,1.1565304514075112,184.39992875660494,0.9640580947169349,0.10844524346453671,0.017857142857142856
CMT002,150,5.2272617737752345,1.06560504923385,191.30474869594673,0.9741038551813014,0.07908092449694176,0.017699115044247787
CMT003,0,5.824549577047022,1.251265165662047,171.68709558945642,0.8941033302940211,0.17483140555067733,0.05172413793103448
CMT003,75,5.742041358817059,1.0920849681821951,174.1540921617489,0.9075827013702732,0.1626149416721263,0.10434782608695652
CMT003,150,5.57553785134352,1.0108505210512682,179.35489394248003,0.9466665285196046,0.1528208932442534,0.05217391304347826
CMT004,0,6.113822744054289,1.047147414550098,163.56378682592702,0.9405269770524967,0.14104388481228325,0.08928571428571429
CMT004,75,6.545023587035519,1.3429274491970506,152.7878374618565,0.9701477838390281,0.12193910537124891,0.21052631578947367
CMT004,150,6.241086394208438,1.2427955024294646,160.22851420995764,0.9611027174014722,0.12555371285326222,0.17699115044247787
CMT005,0,5.1645365767019635,0.7378731506999046,193.62821526158945,0.9918364068481831,0.06778631931611095,0.0
CMT005,75,5.404898500869942,1.1459763014909776,185.01735043480383,0.99483905313355,0.1329302373235488,0.03669724770642202
CMT005,150,5.268937470321078,1.2100509119839058,189.79158618465482,0.9900204270836733,0.146740116221857,0.02727272727272727
CMT006,0,5.556689031973392,1.1338725732858552,179.96328285530527,0.9847671902230517,0.09228589047169111,0.0196078431372549
CMT006,75,5.94244795090311,1.2127813273306047,168.2808176465431,0.9822979598543399,0.09218699136837516,0.03125
CMT006,150,5.955515830744851,1.4230308012936947,167.91156776673884,0.9915324650721632,0.07211071276128678,0.06930693069306931
CMT007,0,6.253766952117089,1.4387576218006686,159.90362411273892,0.9709374669858954,0.1173114442683722,0.11009174311926606
CMT007,75,5.878059349166243,1.4575957755485907,170.1241754460751,0.9288823048277658,0.14675258788774997,0.10909090909090909
CMT007,150,5.704418388953644,1.2164520253890176,175.30270955167947,0.8874377623931636,0.1770542957552877,0.07142857142857142
CMT008,0,5.630140249545984,1.855828790741838,177.61546882968685,0.9923447398038259,0.07465402867924903,0.10909090909090909
CMT008,75,5.236018676399897,1.713489225844579,190.98480387536836,0.9677621900429276,0.11718085715114956,0.0761904761904762
CMT008,150,5.13902034607285,1.667536927528799,194.58961682535127,0.9585071760266368,0.1252810865555305,0.07339449541284404
CMT009,0,6.06567039144489,1.83183716444867,164.86223870825796,0.9383003824024568,0.13158388109443003,0.1834862385321101
CMT009,75,5.807064440386726,1.5667873176809213,172.2040473746498,0.963689723918367,0.1058112433635694,0.13392857142857142
CMT009,150,5.919159098745809,1.6395805628035098,168.94291626861096,0.9026208834655964,0.18608395072631767,0.19090909090909092
CMT010,0,5.646847406944241,0.9063057551982985,177.08996329000223,0.9955866342583537,0.07183424495790247,0.025423728813559324
CMT010,75,5.345428705333183,1.1362631687757276,187.0757342628648,0.9741502271041685,0.13200921095806573,0.05128205128205128
CMT010,150,5.050276445111771,0.8120800590164473,198.0089626515224,0.9577899538956827,0.10892160853526256,0.017094017094017096
